RaceDate,RaceTime,CourseName,RaceTitle,HorseName,MasterScore,RankWorst,IsLayTarget,DSLR,StrideDecay,BadDiscipline,IsLeader,Reasons,ScannedAt
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Thiscouldbefun,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,16:20,Newmarket,16:20 NEWMARKET,Parisian Scholar,0,1,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,16:20,Newmarket,16:20 NEWMARKET,Patrol,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,16:20,Newmarket,16:20 NEWMARKET,Rizal,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,16:20,Newmarket,16:20 NEWMARKET,Zurna,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,A Wave Of The Sea,0,1,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Ad Caelum,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Ceanndana,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Charlie Luciano,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Granville Street,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.023000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Ira Hayes,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Koori Star,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Scalpnagoon,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,15:35,York,15:35 YORK,Partisan Hero,0,13,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.973000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,The Dara Man,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Anns Getaway,0,1,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Baila Conmigo,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Charles The Bold,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,First Ascent,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Geashill Poet,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Grabat,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Hinchinbrooke,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Jodoro,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Kimi De Mai,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Le Roi Arthur,0,10,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Loadstone,0,11,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Mistakenforanother,0,12,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Puppet Master,0,13,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Really Truly,0,14,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Rene's Gold,0,15,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Rickety Kate,0,16,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.027000
2026-08-21,16:56,Kilbeggan,16:56 KILBEGGAN,Rose Mountain,0,17,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Hello You Ten,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Chan Noir,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Christmas Is Comin,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Fillipas,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Inmyopinion,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Kaboom,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Lowcountry,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Mr Montgomery,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Pent Up Charm,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Reece's Call,0,10,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.030000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Spirit Of Lyra,0,11,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.033000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Storm Force Ten,0,12,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.033000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Thanks Harry,0,13,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.033000
2026-08-21,17:57,Salisbury,17:57 SALISBURY,Vera Lemon,0,14,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:28.033000
2026-08-21,13:50,York,13:50 YORK,Astrazar,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.037000
2026-08-21,13:50,York,13:50 YORK,Blue Courvoisier,-2,2,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.040000
2026-08-21,13:50,York,13:50 YORK,Welbury,-2,3,False,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:28.040000
