RaceDate,RaceTime,CourseName,RaceTitle,HorseName,B2LScore,RankBest,IsB2LTarget,Tier,DSLR,StrideDecay,BadDiscipline,GoodSpeed,IsLeader,SpeedWords,BetModes,Signals,ScannedAt
2026-08-21,17:12,Killarney,17:12 KILLARNEY,Razmataz,2,8,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.660000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Casamorati,4,1,True,Tier 1 EW,99,0.0,False,True,False,pushed along,"EW,B2L,WIN",Speed(pushed along),2026-08-21 11:25:53.660000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Chirac,4,2,True,Tier 1 EW,99,0.0,False,True,False,"kept on, pushed along","EW,B2L,WIN","Speed(kept on, pushed along)",2026-08-21 11:25:53.663000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Glitter And Glory,4,3,True,Tier 2 B2L,99,0.0,False,True,False,"kept on, kept on well","EW,B2L-Consider","Speed(kept on, kept on well)",2026-08-21 11:25:53.667000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,John La Bear,4,4,False,Pass,99,0.0,False,True,False,"kept on, kept on well, headway",,"Speed(kept on, kept on well, headway)",2026-08-21 11:25:53.670000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Chapel Lane,2,5,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.670000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Golddream,2,6,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.670000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Only One Scobie,2,7,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.670000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Saga Lucia,2,8,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.670000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Sancerre Rock,2,9,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.670000
2026-08-21,18:50,Killarney,18:50 KILLARNEY,Sweet Baby Zou,2,10,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.670000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,A Rose Adaay,4,1,True,Tier 1 EW,99,0.0,False,True,False,"pushed along, prominent","EW,B2L,WIN","Speed(pushed along, prominent)",2026-08-21 11:25:53.673000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Charencey,4,2,True,Tier 1 EW,99,0.0,False,True,False,kept on,"EW,B2L,WIN",Speed(kept on),2026-08-21 11:25:53.677000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Elora Prince,4,3,True,Tier 2 B2L,99,0.0,False,True,False,led,"EW,B2L-Consider",Speed(led),2026-08-21 11:25:53.680000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Gert Lush,4,4,False,Pass,99,0.0,False,True,False,"ran on, headway, good headway",,"Speed(ran on, headway, good headway)",2026-08-21 11:25:53.683000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,King of The Dance,4,5,False,Pass,99,0.0,False,True,False,"ran on, headway",,"Speed(ran on, headway)",2026-08-21 11:25:53.690000
